mechanism,rate,condition,horizon,n_districts,zero_MAE,aware_MAE,delta_zero_minus_aware,share_districts_aware_better
mcar,0.8,Malaria,4,37,43.454121621621624,39.81439189189189,3.6397297297297295,0.5675675675675675
mcar,0.8,Typhoid,1,37,6.667635135135135,6.4139189189189185,0.25371621621621604,0.7027027027027027
mcar,0.8,Typhoid,2,37,7.114864864864865,6.7047297297297295,0.410135135135135,0.6756756756756757
mcar,0.8,Typhoid,4,37,7.627702702702703,7.160135135135135,0.4675675675675675,0.5405405405405406
value_dependent,0.1,AD_noncholera,1,37,195.15864864864864,192.51999999999998,2.6386486486486485,0.7027027027027027
value_dependent,0.1,AD_noncholera,2,37,229.58952702702703,225.29513513513513,4.294391891891892,0.8918918918918919
value_dependent,0.1,AD_noncholera,4,37,247.38797297297296,242.43716216216214,4.95081081081081,0.918918918918919
value_dependent,0.1,ALRI_u5,1,37,9.4800533428165,9.351945234708392,0.12810810810810808,0.5135135135135135
value_dependent,0.1,ALRI_u5,2,37,10.802756045519203,10.579850640113799,0.22290540540540532,0.6486486486486487
value_dependent,0.1,ALRI_u5,4,37,11.543904694167853,11.412891180654338,0.1310135135135135,0.5675675675675675
value_dependent,0.1,Bloody_diarrhoea,1,37,12.401152204836416,12.350341394025605,0.050810810810810805,0.4594594594594595
value_dependent,0.1,Bloody_diarrhoea,2,37,13.475408961593171,13.421490042674254,0.05391891891891889,0.5405405405405406
value_dependent,0.1,Bloody_diarrhoea,4,37,13.793111664295877,13.722841394025606,0.07027027027027029,0.6486486486486487
value_dependent,0.1,ILI,1,37,33.7674893314367,33.688435277382645,0.07905405405405408,0.32432432432432434
value_dependent,0.1,ILI,2,37,37.94397581792319,37.56162162162162,0.3823541963015647,0.3783783783783784
value_dependent,0.1,ILI,4,37,43.51056899004268,43.23618065433855,0.2743883357041254,0.24324324324324326
value_dependent,0.1,Malaria,1,37,29.652567567567566,29.589054054054056,0.06351351351351349,0.32432432432432434
value_dependent,0.1,Malaria,2,37,34.53871621621622,34.420337837837835,0.11837837837837831,0.5135135135135135
value_dependent,0.1,Malaria,4,37,37.45925675675676,37.31364864864865,0.14560810810810812,0.5135135135135135
value_dependent,0.1,Typhoid,1,37,6.367635135135135,6.34472972972973,0.022905405405405387,0.35135135135135137
value_dependent,0.1,Typhoid,2,37,6.54972972972973,6.509662162162162,0.040067567567567554,0.3783783783783784
value_dependent,0.1,Typhoid,4,37,6.963175675675675,6.900067567567567,0.0631081081081081,0.4594594594594595
value_dependent,0.2,AD_noncholera,1,37,196.9441216216216,192.62297297297297,4.3211486486486494,0.8378378378378378
value_dependent,0.2,AD_noncholera,2,37,234.43114864864864,225.88121621621622,8.549932432432435,0.972972972972973
value_dependent,0.2,AD_noncholera,4,37,254.74195945945945,242.7577027027027,11.984256756756754,0.972972972972973
value_dependent,0.2,ALRI_u5,1,37,9.48201280227596,9.242215504978663,0.2397972972972972,0.5405405405405406
value_dependent,0.2,ALRI_u5,2,37,10.781877667140824,10.437958748221906,0.3439189189189188,0.6216216216216216
value_dependent,0.2,ALRI_u5,4,37,11.566810099573257,11.242958748221906,0.3238513513513513,0.6216216216216216
value_dependent,0.2,Bloody_diarrhoea,1,37,12.449463015647227,12.361557610241821,0.08790540540540542,0.5945945945945946
value_dependent,0.2,Bloody_diarrhoea,2,37,13.562030583214796,13.422503556187767,0.139527027027027,0.6216216216216216
value_dependent,0.2,Bloody_diarrhoea,4,37,13.92682788051209,13.72317923186344,0.20364864864864862,0.6756756756756757
value_dependent,0.2,ILI,1,37,34.31701635846373,33.82931365576103,0.48770270270270266,0.43243243243243246
value_dependent,0.2,ILI,2,37,38.53505689900427,37.743168563300145,0.791888335704125,0.5135135135135135
value_dependent,0.2,ILI,4,37,43.430896159317214,42.7220092460882,0.7088869132290189,0.43243243243243246
